overall,potential,wage_eur,age,height_cm,weight_kg,international_reputation,pace,shooting,passing,dribbling,defending,physic,contribution_type,league_name,club_name,name,attacking,skill,movement,power,mentality,goalkeeping
82.0,90.0,120000.0,21.0,184.0,77.0,1.0,82.0,79.0,78.0,82.0,30.5,66.0,1.0,English Premier League,Manchester City,Ferran Torres,77.0,74.8,80.8,74.6,65.83333333333333,18.166666666666668
81.0,81.0,39000.0,35.0,188.0,77.0,2.0,79.0,83.0,69.0,73.0,29.5,79.0,1.0,French Ligue 1,LOSC Lille,B. Yılmaz,74.6,70.6,72.8,77.8,73.0,17.483333333333334
81.0,81.0,24000.0,36.0,185.0,82.0,3.0,67.6,44.1,60.1,63.8,27.0,72.6,0.0,French Ligue 1,Olympique de Marseille,S. Mandanda,19.8,21.4,52.8,45.4,33.166666666666664,74.83333333333333
81.0,81.0,30000.0,37.0,191.0,84.0,3.0,32.0,46.0,62.0,63.0,82.0,77.0,0.0,French Ligue 1,LOSC Lille,José Fonte,56.8,56.2,48.2,63.6,66.33333333333333,15.9
81.0,81.0,45000.0,33.0,180.0,76.0,2.0,64.0,81.0,81.0,82.0,37.0,66.0,1.0,German 1. Bundesliga,1. FC Union Berlin,M. Kruse,77.0,79.4,72.6,71.4,73.16666666666667,15.25
81.0,81.0,43000.0,30.0,180.0,74.0,2.0,67.0,64.0,74.0,75.0,79.0,85.0,1.0,French Ligue 1,LOSC Lille,B. André,69.6,68.4,71.6,79.8,76.66666666666667,16.533333333333335
81.0,81.0,83000.0,30.0,178.0,66.0,2.0,70.0,67.0,81.0,85.0,62.75,62.0,0.0,German 1. Bundesliga,RB Leipzig,K. Kampl,64.6,80.4,79.0,68.6,73.83333333333333,17.166666666666668
81.0,81.0,90000.0,28.0,178.0,73.0,1.0,79.0,84.0,70.0,80.0,40.5,70.0,1.0,English Premier League,Aston Villa,D. Ings,76.2,72.4,79.6,77.6,72.83333333333333,17.566666666666666
81.0,81.0,105000.0,28.0,174.0,70.0,3.0,90.0,79.0,70.0,86.0,40.25,68.0,1.0,English Premier League,Tottenham Hotspur,Lucas Moura,71.2,75.6,89.0,77.4,71.83333333333333,17.333333333333332
81.0,82.0,46000.0,28.0,188.0,81.0,1.0,57.0,45.0,67.0,65.0,81.5,81.0,0.0,English Premier League,Burnley,J. Tarkowski,59.2,62.4,59.8,68.2,67.5,15.916666666666666
81.0,82.0,79000.0,28.0,186.0,87.0,2.0,49.0,36.0,52.0,55.0,83.5,80.0,0.0,German 1. Bundesliga,RB Leipzig,W. Orban,52.4,45.4,55.6,62.0,60.0,17.8
81.0,82.0,81000.0,27.0,186.0,78.0,3.0,64.0,84.0,67.0,76.0,35.0,71.0,1.0,French Ligue 1,Olympique de Marseille,A. Milik,75.0,76.0,66.6,74.8,68.0,18.466666666666665
81.0,84.0,69000.0,26.0,173.0,66.0,2.0,59.0,74.0,86.0,78.0,67.5,73.0,1.0,English Premier League,Southampton,J. Ward-Prowse,70.6,85.2,69.2,76.2,73.83333333333333,19.066666666666666
81.0,82.0,66000.0,27.0,184.0,74.0,2.0,65.0,81.0,79.0,78.0,76.75,74.0,0.0,German 1. Bundesliga,VfL Wolfsburg,M. Arnold,74.0,81.4,69.6,77.4,74.33333333333333,16.966666666666665
81.0,81.0,87000.0,29.0,177.0,76.0,3.0,70.0,73.0,82.0,83.0,30.0,62.0,1.0,German 1. Bundesliga,RB Leipzig,E. Forsberg,70.2,79.8,76.6,64.8,69.33333333333333,17.5
81.0,81.0,120000.0,28.0,169.0,62.0,3.0,77.0,66.0,77.0,81.0,74.75,71.0,0.0,English Premier League,Manchester United,Fred,65.8,77.8,83.2,74.0,76.0,19.0
81.0,85.0,90000.0,24.0,187.0,71.0,2.0,83.0,77.0,64.0,77.0,32.75,82.0,1.0,English Premier League,Everton,D. Calvert-Lewin,76.2,64.2,76.6,79.6,69.0,16.400000000000002
81.0,85.0,82000.0,25.0,178.0,72.0,2.0,67.0,65.0,76.0,75.0,79.0,82.0,0.0,English Premier League,Leeds United,K. Phillips,66.4,73.4,71.0,77.4,73.16666666666667,16.466666666666665
81.0,85.0,65000.0,24.0,180.0,72.0,2.0,81.0,68.0,77.0,78.0,79.25,77.0,0.0,German 1. Bundesliga,RB Leipzig,K. Laimer,71.6,70.2,78.4,74.0,74.83333333333333,18.133333333333333
